,SMA,average_return
76,The 78 sma,0.07584856932847406
77,The 79 sma,0.07607680107946235
78,The 80 sma,0.0774053524772167
79,The 81 sma,0.07923420635812128
80,The 82 sma,0.08122292523958174
81,The 83 sma,0.08184355951191757
82,The 84 sma,0.07791245165042993
83,The 85 sma,0.07885007710199066
84,The 86 sma,0.08130031008073946
85,The 87 sma,0.08253042122439558
86,The 88 sma,0.08798759076233398
87,The 89 sma,0.08767649433390723
88,The 90 sma,0.08202558486772538
89,The 91 sma,0.08576223327721189
90,The 92 sma,0.08560582893830482
91,The 93 sma,0.0838411040224818
92,The 94 sma,0.08351118905959942
93,The 95 sma,0.08175437997851298
94,The 96 sma,0.080534456164711
95,The 97 sma,0.07918207315825598
96,The 98 sma,0.07665651804668516
97,The 99 sma,0.07581999815188567
98,The 100 sma,0.07564980613003702
99,The 101 sma,0.07490434977279259
100,The 102 sma,0.07589096047481902
101,The 103 sma,0.07485785634279885
102,The 104 sma,0.07375072834857477
103,The 105 sma,0.0743318219335305
104,The 106 sma,0.07424507063933716
105,The 107 sma,0.07163356121411568
106,The 108 sma,0.07325585193682627
107,The 109 sma,0.0764773996611341
108,The 110 sma,0.07912357188565777
109,The 111 sma,0.07771665591614996
110,The 112 sma,0.07688279429675582
111,The 113 sma,0.07814731353192483
112,The 114 sma,0.08188562288797696
113,The 115 sma,0.08328491938775073
114,The 116 sma,0.08673321041983706
115,The 117 sma,0.08529061480835765
116,The 118 sma,0.08844376424047695
117,The 119 sma,0.08753719377670333
118,The 120 sma,0.08662938509744333
119,The 121 sma,0.0850060392696359
120,The 122 sma,0.0822383282362602
121,The 123 sma,0.08566974798213067
122,The 124 sma,0.08529951870564134
123,The 125 sma,0.08612035401091678
124,The 126 sma,0.0889590263709219
125,The 127 sma,0.0848903445757514
126,The 128 sma,0.08314495637049402
127,The 129 sma,0.08193776962103305
128,The 130 sma,0.08193318885155887
129,The 131 sma,0.07679105415642429
130,The 132 sma,0.07807990544474896
131,The 133 sma,0.07869199361672607
132,The 134 sma,0.07624676123704432
133,The 135 sma,0.07969966142688256
134,The 136 sma,0.07979859802958855
135,The 137 sma,0.07910232297838427
136,The 138 sma,0.07910230036536925
